state,date,PM2.5
Andhra Pradesh,2016-07-01,44.92
Andhra Pradesh,2016-07-05,17.0
Andhra Pradesh,2016-07-06,30.54
Andhra Pradesh,2016-07-07,35.33
Andhra Pradesh,2016-07-08,40.64
Andhra Pradesh,2016-07-09,33.25
Andhra Pradesh,2016-07-10,26.64
Andhra Pradesh,2016-07-11,23.92
Andhra Pradesh,2016-07-12,28.42
Andhra Pradesh,2016-07-13,35.71
Andhra Pradesh,2016-07-14,37.09
Andhra Pradesh,2016-07-15,43.67
Andhra Pradesh,2016-07-16,44.76
Andhra Pradesh,2016-07-17,41.11
Andhra Pradesh,2016-07-18,46.5
Andhra Pradesh,2016-07-19,33.54
Andhra Pradesh,2016-07-20,11.98
Andhra Pradesh,2016-07-21,2.0
Andhra Pradesh,2016-07-22,21.8
Andhra Pradesh,2016-07-23,27.32
Andhra Pradesh,2016-07-25,22.75
Andhra Pradesh,2016-07-26,23.34
Andhra Pradesh,2016-07-27,24.49
Andhra Pradesh,2016-07-28,21.85
Andhra Pradesh,2016-07-29,23.4
Andhra Pradesh,2016-07-30,29.12
Andhra Pradesh,2016-07-31,22.44
Andhra Pradesh,2016-08-01,23.82
Andhra Pradesh,2016-08-02,16.53
Andhra Pradesh,2016-08-03,18.76
Andhra Pradesh,2016-08-04,23.64
Andhra Pradesh,2016-08-05,27.8
Andhra Pradesh,2016-08-06,24.73
Andhra Pradesh,2016-08-07,25.74
Andhra Pradesh,2016-08-08,30.37
Andhra Pradesh,2016-08-09,36.85
Andhra Pradesh,2016-08-10,23.77
Andhra Pradesh,2016-08-11,23.39
Andhra Pradesh,2016-08-12,39.42
Andhra Pradesh,2016-08-13,34.14
Andhra Pradesh,2016-08-14,28.14
Andhra Pradesh,2016-08-15,27.92
Andhra Pradesh,2016-08-16,25.7
Andhra Pradesh,2016-08-17,28.17
Andhra Pradesh,2016-08-18,26.93
Andhra Pradesh,2016-08-19,33.79
Andhra Pradesh,2016-08-20,33.73
Andhra Pradesh,2016-08-21,38.2
Andhra Pradesh,2016-08-22,47.01
Andhra Pradesh,2016-08-23,31.59
Andhra Pradesh,2016-08-24,30.39
Andhra Pradesh,2016-08-25,30.35
Andhra Pradesh,2016-08-26,32.44
Andhra Pradesh,2016-08-27,17.78
Andhra Pradesh,2016-08-28,9.53
Andhra Pradesh,2016-08-29,8.91
Andhra Pradesh,2016-08-30,10.56
Andhra Pradesh,2016-08-31,26.85
Andhra Pradesh,2016-09-01,29.45
Andhra Pradesh,2016-09-02,26.88
Andhra Pradesh,2016-09-03,26.75
Andhra Pradesh,2016-09-04,37.11
Andhra Pradesh,2016-09-05,43.77
Andhra Pradesh,2016-09-06,42.4
Andhra Pradesh,2016-09-07,42.73
Andhra Pradesh,2016-09-08,42.7
Andhra Pradesh,2016-09-09,46.08
